Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRCplus,BsR,Fld,Off,Def,WAR,ADP,id
Juan Soto,SDP,150,675,524,148,27,2,33,113,95,137,93,5,9,4,0.282,0.431,0.53,0.961,0.412,173,-1.1,-0.8,55.9,-12.1,7,999,20123
Aaron Judge,NYY,150,677,567,157,25,1,44,111,106,95,169,6,10,4,0.276,0.383,0.555,0.938,0.396,163,0,3.4,48.1,-3.6,6.9,999,15640
Julio Rodríguez,SEA,149,679,606,168,32,3,32,100,86,54,160,9,25,9,0.277,0.343,0.499,0.841,0.361,142,1.6,-1,34.1,1.5,6,999,23697
Mookie Betts,LAD,150,693,603,163,36,3,31,108,85,71,110,9,15,4,0.27,0.353,0.493,0.845,0.365,139,1.8,6.8,33.1,0,5.9,999,13611
Adley Rutschman,BAL,130,579,492,126,30,1,19,78,65,73,99,6,4,2,0.257,0.358,0.44,0.798,0.35,130,0.5,0.4,20.3,7,5.9,999,26288
Wander Franco,TBR,144,649,583,167,37,6,16,88,76,53,70,5,10,4,0.287,0.349,0.455,0.804,0.349,134,0.7,0.8,25.6,7.2,5.6,999,23667
Mike Trout,LAA,150,677,572,147,28,2,40,105,100,88,179,8,3,1,0.257,0.361,0.522,0.882,0.375,146,-0.2,-4.8,34.7,-2.9,5.6,999,10155
Fernando Tatis Jr.,SDP,125,552,481,136,26,2,37,92,94,59,125,6,20,7,0.283,0.365,0.574,0.939,0.398,163,2,-0.1,42.8,-8.7,5.5,999,19709
Ronald Acuña Jr.,ATL,149,690,586,159,32,1,31,111,82,81,157,12,36,11,0.271,0.368,0.488,0.856,0.37,138,4.1,1.8,34.4,-5,5.5,999,18401
Vladimir Guerrero Jr.,TOR,150,665,584,171,32,1,40,102,114,67,102,7,6,3,0.293,0.369,0.555,0.925,0.393,161,-1.8,-0.9,44,-13.6,5.4,999,19611
José Ramírez,CLE,150,663,578,151,35,4,30,92,98,72,89,7,20,6,0.262,0.348,0.49,0.838,0.354,133,2.3,1.5,26.9,2.3,5.3,999,13510
Yordan Alvarez,HOU,138,603,519,148,31,2,36,91,104,71,124,7,2,1,0.284,0.375,0.558,0.933,0.395,163,-0.4,1.2,42.2,-11.2,5.3,999,19556
Nolan Arenado,STL,150,649,586,158,33,1,29,84,99,52,86,6,4,2,0.27,0.333,0.482,0.814,0.35,130,-0.3,4,22.3,5.9,5.3,999,9777
Alex Bregman,HOU,150,669,564,148,35,1,25,94,86,88,86,9,3,1,0.263,0.369,0.461,0.83,0.362,139,-1.3,-2.3,28.3,-0.5,5.2,999,17678
Carlos Correa,MIN,147,647,567,155,30,1,25,85,83,67,123,5,1,1,0.273,0.352,0.463,0.816,0.354,131,-0.9,-1.6,22.1,5.8,5.2,999,14162
Kyle Tucker,HOU,150,628,559,157,33,3,34,91,101,59,100,3,19,6,0.281,0.35,0.531,0.882,0.376,149,1.1,0.9,35.7,-6.9,5.1,999,18345
Manny Machado,SDP,150,663,588,158,30,1,30,89,98,65,124,3,8,3,0.268,0.342,0.476,0.818,0.35,130,-0.4,-0.1,22.9,1.6,4.9,999,11493
Rafael Devers,BOS,150,662,592,164,39,2,32,91,100,56,130,7,4,2,0.278,0.345,0.511,0.857,0.364,134,0.5,-2.7,25.9,-1.1,4.8,999,17350
Brandon Nimmo,NA,150,689,585,158,32,6,17,96,66,81,120,12,6,3,0.271,0.369,0.435,0.805,0.354,131,-0.2,-4.5,24.5,-2,4.7,999,12927
Freddie Freeman,LAD,150,675,579,170,34,2,25,101,89,81,103,7,9,3,0.293,0.383,0.49,0.873,0.375,145,0,-0.7,35.5,-13.2,4.7,999,5361
Trea Turner,PHI,150,687,624,177,34,4,21,94,76,47,120,5,23,6,0.284,0.337,0.45,0.788,0.342,120,3.2,-4.4,18.8,2.8,4.7,999,16252
Corey Seager,TEX,143,641,566,154,32,2,27,88,83,60,101,7,3,1,0.272,0.346,0.479,0.825,0.355,133,-0.1,-4.7,24,0.2,4.7,999,13624
J.T. Realmuto,PHI,129,555,497,127,24,4,20,68,74,42,123,10,12,4,0.256,0.324,0.439,0.763,0.331,113,1.9,4.9,10,12.6,4.6,999,11739
Jose Altuve,HOU,149,690,605,166,33,1,26,101,77,66,101,8,12,4,0.274,0.351,0.459,0.81,0.352,132,0.2,-4.3,25.2,-2.9,4.6,999,5417
Francisco Lindor,NYM,150,666,594,148,26,4,25,82,86,58,125,8,13,5,0.25,0.322,0.431,0.753,0.328,117,-0.3,0.8,13,8.3,4.6,999,12916
Alejandro Kirk,TOR,126,537,466,133,26,1,19,71,75,60,59,5,1,0,0.286,0.371,0.469,0.84,0.366,142,-2.3,0.1,23,-1.4,4.6,999,22581
Xander Bogaerts,SDP,150,650,574,153,32,1,20,79,85,63,124,7,6,2,0.267,0.344,0.427,0.771,0.337,122,0.3,-2,16.7,4.7,4.5,999,12161
Austin Riley,ATL,150,655,585,160,32,2,35,91,105,53,159,11,2,1,0.274,0.343,0.513,0.857,0.368,136,-1.7,-8.3,26,-5.8,4.4,999,18360
Bo Bichette,TOR,150,672,617,174,38,1,26,94,91,42,135,5,15,5,0.281,0.33,0.476,0.806,0.348,129,0.6,-10,22.7,-2.5,4.4,999,19612
Michael Harris II,ATL,141,611,558,155,34,3,22,85,78,38,133,7,20,7,0.277,0.328,0.468,0.796,0.343,120,1.5,3,15.4,5.4,4.3,999,25931
Paul Goldschmidt,STL,150,666,580,159,32,1,29,91,95,74,144,5,6,2,0.274,0.359,0.483,0.842,0.365,140,-0.4,0.9,30.6,-11.9,4.3,999,9218
Sean Murphy,OAK,132,581,510,122,30,2,21,69,67,55,125,10,1,1,0.239,0.322,0.424,0.746,0.326,118,-0.7,1.1,11.3,4.3,4.3,999,19352
Gunnar Henderson,BAL,139,612,531,135,28,4,21,75,77,69,150,6,10,4,0.255,0.345,0.444,0.789,0.344,126,-0.5,1.1,17.7,3.6,4.3,999,26289
George Springer,TOR,141,650,568,147,25,3,30,97,79,63,122,8,11,4,0.258,0.339,0.474,0.813,0.352,132,0.5,-1.6,24,-4,4.3,999,12856
Marcus Semien,TEX,150,692,618,154,30,3,26,92,74,59,122,4,19,6,0.25,0.318,0.435,0.753,0.328,114,2,2.2,13.2,5.3,4.3,999,12533
Pete Alonso,NYM,150,649,567,148,27,1,39,92,109,66,127,10,3,2,0.262,0.347,0.521,0.869,0.368,145,-2.5,0.1,31.1,-12.5,4.2,999,19251
Bobby Witt Jr.,KCR,149,669,613,161,35,5,26,89,84,40,134,7,27,10,0.263,0.313,0.463,0.775,0.333,115,2,2.1,13.4,5.3,4.2,999,25764
Luis Robert Jr.,CHW,139,614,567,161,33,1,25,78,86,35,123,7,13,5,0.283,0.329,0.476,0.806,0.347,128,1.2,-2.6,20.3,-0.7,4.1,999,20043
Yandy Díaz,TBR,141,641,544,154,32,1,14,87,63,82,86,6,5,2,0.283,0.38,0.425,0.805,0.355,139,-1.9,-2.2,26,-7.4,4.1,999,16578
Will Smith,LAD,126,547,475,120,23,2,26,73,80,57,98,10,2,1,0.253,0.343,0.473,0.816,0.352,130,-2,-0.1,17,3.3,4.1,999,19197
Bryan Reynolds,PIT,150,675,589,157,30,5,24,91,83,67,144,10,7,3,0.266,0.349,0.458,0.807,0.349,125,-0.6,-6,19.2,-3.7,4,999,19326
Andrés Giménez,CLE,144,596,535,143,29,3,19,72,75,37,118,17,17,6,0.267,0.332,0.437,0.769,0.334,118,0.9,2.9,13.2,5.7,4,999,19950
Willy Adames,MIL,146,653,580,142,30,1,28,85,81,61,173,3,8,4,0.244,0.316,0.441,0.758,0.328,111,0.8,-1.5,9.4,5.8,3.9,999,15986
Byron Buxton,MIN,130,586,527,126,28,3,32,82,82,42,163,9,9,3,0.24,0.304,0.487,0.791,0.34,124,0.9,3.6,16.8,1,3.8,999,14161
Oneil Cruz,PIT,130,589,524,131,24,5,27,83,72,51,159,5,18,6,0.25,0.32,0.472,0.792,0.342,121,0.7,-3.5,14.7,1.9,3.8,999,21711
Steven Kwan,CLE,141,647,566,160,29,6,11,88,59,64,67,7,16,5,0.284,0.361,0.414,0.775,0.341,124,1,1.5,18.2,-4.4,3.6,999,24610
Tommy Edman,STL,147,668,607,160,34,3,13,85,62,44,108,7,27,7,0.263,0.318,0.396,0.714,0.313,105,3.8,-2.4,7.4,4.4,3.6,999,19470
Jeff McNeil,NYM,149,659,593,172,37,1,13,81,67,46,80,11,4,2,0.29,0.349,0.424,0.773,0.339,125,-1,-2.1,18,-5.9,3.6,999,15362
Nico Hoerner,CHC,139,616,558,157,29,4,12,75,59,41,76,8,19,6,0.28,0.336,0.411,0.747,0.325,110,0.7,-1.2,7.8,5.8,3.6,999,21479
Matt Chapman,TOR,150,625,542,120,25,2,27,76,81,68,182,7,3,1,0.221,0.314,0.423,0.737,0.322,111,0.4,3,8.3,5.5,3.5,999,16505
Brandon Lowe,TBR,134,585,515,124,26,2,27,75,82,57,142,8,4,2,0.24,0.323,0.457,0.779,0.338,127,1,-1.7,18.5,-3.7,3.5,999,18882
Jazz Chisholm Jr.,MIA,134,606,543,133,24,5,28,82,76,49,153,6,26,11,0.246,0.312,0.463,0.775,0.335,119,1.2,-2.2,14.4,-1.4,3.5,999,20454
Seiya Suzuki,CHC,139,624,541,142,28,2,26,85,79,68,137,7,10,5,0.262,0.35,0.466,0.815,0.352,128,-0.8,0.3,19.8,-7.6,3.5,999,30116
Gleyber Torres,NYY,138,612,548,144,27,1,23,80,73,51,127,4,13,5,0.262,0.328,0.444,0.772,0.335,120,0,-0.6,13.9,-0.4,3.5,999,16997
Anthony Rendon,LAA,138,583,504,130,31,1,18,71,72,66,102,6,3,1,0.258,0.349,0.433,0.782,0.342,123,0,-2,15,-1,3.4,999,12861
Amed Rosario,CLE,143,640,597,166,28,7,13,78,69,30,112,4,13,5,0.278,0.315,0.413,0.728,0.317,106,1.2,-0.7,5.8,6.4,3.4,999,15518
Matt Olson,ATL,150,652,566,141,30,1,34,90,100,74,148,6,2,1,0.249,0.34,0.487,0.827,0.355,127,-1,3.1,19.8,-9.4,3.4,999,14344
Cal Raleigh,SEA,122,509,460,103,23,1,26,62,73,40,136,5,2,1,0.225,0.29,0.451,0.742,0.32,114,-0.7,1.1,7.3,2.9,3.4,999,21534
Eloy Jiménez,CHW,146,627,569,155,27,1,33,82,98,47,142,5,1,0,0.273,0.332,0.496,0.828,0.357,134,-0.5,-2.6,23.6,-12,3.3,999,17484
Riley Greene,DET,143,636,566,146,28,6,15,71,68,58,163,6,8,3,0.258,0.33,0.408,0.739,0.324,113,0.1,-0.9,9.4,1.4,3.3,999,25976
Luis Arraez,MIN,139,636,566,173,33,3,7,81,55,55,54,4,7,3,0.305,0.369,0.411,0.78,0.343,127,0.1,2.8,19.3,-8.5,3.3,999,18568
Tim Anderson,CHW,139,646,603,172,31,1,16,83,62,27,120,6,17,5,0.286,0.321,0.424,0.745,0.324,111,2.2,-6.7,10.1,0.2,3.2,999,15172
Ty France,SEA,149,670,598,163,33,1,23,87,80,45,110,19,1,0,0.272,0.34,0.448,0.788,0.343,130,-1.5,1.9,20.8,-11.3,3.2,999,17982
Dansby Swanson,ATL,150,641,578,143,30,1,21,76,73,49,162,5,13,5,0.247,0.309,0.413,0.722,0.315,104,1.5,-2.2,4.5,5.3,3.2,999,18314
Daulton Varsho,ARI,130,582,519,124,25,3,24,77,68,48,133,6,15,5,0.239,0.309,0.44,0.749,0.325,108,1.6,4.1,6.9,4.2,3.2,999,19918
Jorge Polanco,MIN,139,613,543,139,29,1,21,73,76,60,120,5,7,4,0.256,0.333,0.429,0.762,0.333,120,0,-6,13.5,-2.8,3.2,999,13152
Shohei Ohtani,LAA,147,657,565,144,27,4,35,95,97,79,169,5,17,7,0.255,0.349,0.504,0.853,0.361,136,-0.1,0,26.4,-17.2,3.2,999,19755
Starling Marte,NYM,139,629,570,152,28,4,17,82,70,37,125,13,24,8,0.268,0.325,0.422,0.747,0.326,116,2.2,-7.4,14.1,-5.2,3.1,999,9241
Ke'Bryan Hayes,PIT,139,618,553,143,32,3,14,71,67,52,133,6,17,6,0.259,0.327,0.403,0.73,0.321,106,0.5,2.6,4.8,4.3,3.1,999,18577
Cedric Mullins,BAL,147,680,608,153,32,4,20,90,66,53,128,8,30,9,0.252,0.318,0.414,0.733,0.32,109,2.2,-3.3,9.1,-0.9,3.1,999,17929
Luis Urías,MIL,139,592,516,125,25,2,20,69,71,60,123,9,4,2,0.243,0.331,0.412,0.743,0.327,110,-0.6,0.6,6.7,3.2,3.1,999,16622
Ozzie Albies,ATL,138,570,521,135,30,3,20,69,73,38,102,5,13,5,0.259,0.312,0.446,0.758,0.328,109,1.8,0.8,7.9,2.2,3.1,999,16556
Vinnie Pasquantino,KCR,130,558,487,136,29,2,24,74,82,61,75,6,2,1,0.279,0.363,0.495,0.858,0.37,141,-1.2,0.4,24.3,-12.9,3.1,999,27676
Ketel Marte,ARI,134,602,535,143,37,2,16,76,68,52,104,7,5,2,0.267,0.338,0.435,0.773,0.336,115,-0.4,-1.9,10.3,-1.4,3.1,999,13613
Nathaniel Lowe,TEX,146,634,558,151,26,3,26,79,85,64,147,4,4,2,0.271,0.349,0.465,0.814,0.353,132,-1.7,-0.5,21.2,-12.7,3,999,19566
Christian Yelich,MIL,146,666,562,140,26,3,21,89,68,89,164,5,14,4,0.249,0.354,0.419,0.773,0.339,119,1.5,-0.9,16,-9.7,3,999,11477
Ha-Seong Kim,SDP,123,536,477,118,23,2,14,67,55,45,96,6,11,3,0.248,0.319,0.396,0.714,0.314,106,0.3,3.9,4,6.2,3,999,27506
J.P. Crawford,SEA,143,575,503,129,27,2,8,63,51,57,85,7,5,2,0.256,0.338,0.365,0.703,0.314,109,-0.3,-3.2,5.8,3.9,2.9,999,15491
Jose Miranda,MIN,139,587,534,144,32,1,21,70,77,37,100,9,2,1,0.27,0.325,0.451,0.775,0.336,122,-0.7,-5.3,13.6,-4.4,2.9,999,20538
Thairo Estrada,SFG,134,595,537,139,26,2,17,73,62,38,101,11,18,6,0.259,0.319,0.414,0.732,0.321,108,0.9,-2.1,6.6,1.2,2.9,999,16426
Isaac Paredes,TBR,112,463,399,97,20,1,19,58,61,54,77,5,2,1,0.244,0.338,0.446,0.784,0.343,130,-0.7,0,15,-1.9,2.9,999,20036
Jonah Heim,TEX,100,415,374,88,18,1,14,45,49,34,80,3,2,1,0.235,0.301,0.402,0.702,0.307,100,-0.8,0,-0.9,7.4,2.9,999,16930
Trevor Story,BOS,149,642,573,137,33,2,23,77,82,56,171,7,17,6,0.239,0.312,0.425,0.737,0.319,103,1.5,-3.2,3.6,3.7,2.9,999,12564
Brendan Donovan,STL,125,528,454,122,25,1,9,62,54,58,84,10,5,2,0.27,0.363,0.393,0.755,0.336,120,-0.7,-0.6,11.9,-2.3,2.9,999,24679
Harrison Bader,NYY,130,516,464,115,22,3,15,57,59,37,112,7,17,6,0.248,0.312,0.405,0.717,0.313,105,1.3,4.7,4,6.8,2.9,999,18030
Randy Arozarena,TBR,149,656,584,150,33,2,23,82,84,54,164,12,26,11,0.257,0.33,0.439,0.769,0.334,124,-0.5,-2.4,17.2,-10.9,2.9,999,19290
Dylan Carlson,STL,125,502,440,111,27,3,13,61,55,47,98,7,5,2,0.252,0.332,0.416,0.749,0.328,115,0.3,-0.4,9.1,1.2,2.9,999,20126
Ian Happ,CHC,149,651,570,140,31,2,23,77,80,68,160,7,9,4,0.246,0.331,0.427,0.758,0.331,114,0.1,1.8,10.7,-5.4,2.8,999,17919
Jake Cronenworth,SDP,143,611,534,134,29,4,15,73,71,59,107,10,3,1,0.25,0.334,0.406,0.739,0.324,113,0.2,6.3,9.3,-2.7,2.8,999,18036
Taylor Ward,LAA,141,611,534,139,28,2,22,77,79,65,135,7,6,2,0.26,0.345,0.444,0.789,0.345,125,-0.3,-2.8,16.7,-9.6,2.8,999,17548
Gavin Lux,LAD,130,522,461,122,22,5,12,60,57,52,102,3,7,3,0.264,0.339,0.412,0.751,0.33,115,0.5,-6.7,9.4,-0.5,2.8,999,19955
Jose Trevino,NYY,84,322,299,74,15,1,9,34,36,15,59,2,3,1,0.246,0.285,0.387,0.672,0.292,90,-0.9,0.3,-4.5,7.3,2.8,999,16725
Brendan Rodgers,COL,138,576,524,147,31,3,17,68,71,40,103,6,1,0,0.28,0.335,0.448,0.784,0.341,105,-0.1,1,3.5,3.3,2.7,999,17907
Jose Siri,TBR,118,453,412,99,20,3,17,56,56,29,142,5,17,5,0.241,0.297,0.428,0.725,0.315,110,1.6,2.7,6.8,4.7,2.7,999,17452
Christian Walker,ARI,150,644,569,144,29,2,28,80,91,63,136,7,2,1,0.253,0.332,0.457,0.789,0.342,119,0,2.2,14.5,-10.4,2.7,999,13419
CJ Abrams,WSN,130,569,528,141,30,3,11,64,56,23,96,10,17,7,0.267,0.307,0.396,0.703,0.307,96,0.7,2.2,-2.1,8.6,2.7,999,25768
Alec Bohm,PHI,146,595,544,148,27,2,16,65,69,39,117,5,4,2,0.272,0.324,0.418,0.742,0.324,107,-0.4,-1.8,4.6,0.6,2.6,999,21618
Jonathan India,CIN,141,637,553,139,29,2,18,80,65,58,137,16,9,4,0.252,0.338,0.41,0.747,0.329,106,-0.5,-2.1,3.6,0.2,2.6,999,21523
Ramón Laureano,OAK,146,634,568,133,30,1,22,72,77,46,165,15,17,7,0.234,0.305,0.409,0.714,0.313,109,1.2,0,7.9,-2.9,2.6,999,17128
Danny Jansen,TOR,116,468,414,99,20,1,23,59,65,43,91,6,2,1,0.239,0.317,0.457,0.774,0.335,120,-0.7,0.1,10,0.4,2.6,999,16535
Yoán Moncada,CHW,139,620,545,133,29,2,18,75,66,61,160,6,4,2,0.244,0.325,0.403,0.727,0.319,108,-0.1,0,5.2,0.1,2.6,999,17232
Kyle Schwarber,PHI,143,643,547,124,21,2,38,93,88,80,182,6,6,3,0.226,0.329,0.479,0.809,0.349,124,-1.4,-5.8,16.9,-13.4,2.6,999,16478
Tyler O'Neill,STL,130,539,481,117,20,2,25,66,73,44,152,8,14,5,0.243,0.315,0.448,0.763,0.332,118,1.1,0.4,12.1,-5.3,2.6,999,15711
Jean Segura,NA,130,555,503,138,24,2,11,63,56,37,85,8,12,5,0.274,0.331,0.396,0.727,0.319,107,0.7,-0.6,5,1.6,2.6,999,5933
Corbin Carroll,ARI,122,498,436,106,21,7,17,58,58,49,130,7,14,6,0.243,0.328,0.436,0.764,0.332,113,0.4,5.1,7.7,0.1,2.6,999,25878
Lars Nootbaar,STL,107,430,368,91,16,2,17,53,54,52,91,3,6,2,0.247,0.343,0.441,0.785,0.342,125,-0.1,1.6,12.3,-2.2,2.6,999,21454
Keibert Ruiz,WSN,113,481,435,115,24,1,16,55,61,36,56,5,4,2,0.264,0.326,0.434,0.76,0.332,113,-0.7,0.3,6.4,4.5,2.5,999,19610
Max Muncy,LAD,136,585,488,110,21,1,26,76,79,84,135,7,2,1,0.226,0.345,0.435,0.78,0.342,123,-0.4,-5,15.2,-10.7,2.5,999,13301
Ezequiel Tovar,COL,117,439,403,113,23,3,15,57,57,25,77,4,11,4,0.28,0.327,0.464,0.792,0.342,106,0.3,0,3.6,5.8,2.5,999,24064
Trent Grisham,SDP,125,506,437,97,20,2,18,60,59,56,131,6,9,3,0.222,0.316,0.398,0.714,0.314,106,0.7,0.7,4.3,2.7,2.5,999,18564
Rhys Hoskins,PHI,149,660,568,132,31,2,30,87,88,78,160,7,3,1,0.233,0.33,0.451,0.781,0.341,119,-1.7,1.6,12.7,-10.9,2.5,999,16472
Travis d'Arnaud,ATL,93,389,354,89,18,1,14,45,49,24,86,6,1,0,0.251,0.307,0.421,0.728,0.317,102,-1.2,-0.1,-0.4,5.1,2.5,999,7739
Vaughn Grissom,ATL,123,467,419,115,21,2,12,58,54,33,77,8,12,4,0.274,0.336,0.421,0.757,0.331,111,0.5,-4.5,6.6,1.6,2.5,999,26031
DJ LeMahieu,NYY,105,479,419,115,19,1,11,62,45,48,66,4,4,2,0.275,0.352,0.402,0.755,0.334,119,-0.7,1,9.8,-1.5,2.5,999,9874
Kolten Wong,SEA,120,506,450,113,22,2,12,56,50,39,90,10,14,5,0.251,0.323,0.388,0.71,0.313,109,0.8,-0.6,5.8,1.4,2.4,999,12532
Jeremy Peña,HOU,139,576,534,132,23,2,22,65,72,28,133,7,10,4,0.246,0.291,0.422,0.712,0.309,102,0.2,-3.6,1.3,3.3,2.4,999,21636
Yasmani Grandal,CHW,86,350,291,66,11,0,12,40,39,52,77,3,1,0,0.226,0.347,0.393,0.739,0.33,115,-2.3,-2.3,3.7,3.6,2.4,999,11368
José Abreu,HOU,150,650,578,158,33,1,22,81,89,55,125,12,1,0,0.273,0.346,0.448,0.794,0.346,128,-1.6,-3.6,18.7,-16.5,2.4,999,15676
Ryan McMahon,COL,138,595,525,131,26,2,22,73,76,59,152,5,7,3,0.249,0.328,0.434,0.762,0.333,100,0,0.6,-0.1,2.9,2.4,999,15112
Jake McCarthy,ARI,141,611,548,141,28,6,15,71,71,49,132,8,28,10,0.258,0.325,0.417,0.742,0.325,108,2.4,-0.2,7.7,-5.7,2.4,999,21622
Anthony Rizzo,NYY,131,579,497,120,21,1,27,76,80,59,104,17,7,3,0.241,0.34,0.45,0.79,0.343,126,-2.4,0.7,14.5,-10.4,2.4,999,3473
Bryson Stott,PHI,117,456,407,103,21,2,12,51,51,40,89,3,9,4,0.253,0.321,0.404,0.725,0.318,103,0.4,2.9,2.2,5,2.4,999,26294
Eugenio Suárez,SEA,144,624,546,115,20,1,28,72,79,65,191,7,1,0,0.211,0.301,0.406,0.707,0.311,107,-2.4,-1.6,2.7,-0.1,2.4,999,12552
Mike Yastrzemski,SFG,130,573,502,115,29,2,20,71,64,56,143,7,4,2,0.23,0.314,0.415,0.729,0.319,107,-0.1,-2.7,4.6,-1.4,2.4,999,14854
Miguel Vargas,LAD,130,504,445,118,24,2,18,63,65,46,90,5,8,3,0.264,0.337,0.447,0.784,0.341,122,-0.2,-6.3,13,-7.6,2.3,999,20178
Tyler Stephenson,CIN,117,500,447,115,24,1,15,56,60,42,113,7,2,1,0.257,0.328,0.412,0.74,0.325,102,-0.6,0.6,0.7,7.1,2.3,999,17988
Andrew Benintendi,NA,130,567,505,135,27,3,13,67,62,52,97,4,9,4,0.268,0.338,0.409,0.747,0.329,113,-0.2,1.4,8.4,-5.1,2.3,999,17901
Alex Verdugo,BOS,143,630,570,160,36,2,15,78,71,47,93,5,4,2,0.281,0.339,0.43,0.769,0.335,114,0.2,-0.9,9.8,-8,2.3,999,17027
Royce Lewis,MIN,81,320,289,78,18,1,12,40,42,23,63,4,9,3,0.27,0.33,0.467,0.797,0.345,128,0.3,-1.1,10.3,1.3,2.3,999,20437
Giancarlo Stanton,NYY,126,545,480,118,18,1,32,74,87,58,156,3,1,0,0.247,0.33,0.489,0.818,0.352,132,-2,0,18,-13.9,2.3,999,4949
Rowdy Tellez,MIL,126,546,483,119,23,1,30,72,83,53,111,5,2,1,0.247,0.326,0.486,0.812,0.346,123,-1.7,0.6,13.1,-10.3,2.2,999,15679
Ramón Urías,BAL,126,516,463,114,23,1,15,55,57,41,119,7,2,1,0.247,0.316,0.404,0.72,0.315,106,-0.7,0.2,2.7,1.7,2.2,999,18795
Mark Canha,NYM,144,595,506,123,23,2,16,68,63,62,121,20,5,2,0.242,0.345,0.392,0.737,0.329,118,-1.1,-3.9,11.3,-10.6,2.2,999,11445
Josh Rojas,ARI,125,536,469,118,28,2,10,61,53,57,115,3,15,5,0.251,0.333,0.386,0.719,0.318,103,1.6,-2.6,3.2,-0.5,2.2,999,19734
Santiago Espinal,TOR,128,494,445,120,26,1,9,56,51,38,70,3,9,3,0.269,0.329,0.389,0.718,0.316,107,0.4,-1.4,4,0.9,2.2,999,19997
Omar Narváez,NA,100,410,362,87,16,1,9,42,41,38,80,5,1,0,0.24,0.317,0.361,0.678,0.301,94,-1.1,-1.5,-3.9,4.9,2.2,999,13338
Javier Báez,DET,141,627,580,140,29,4,22,71,73,30,169,9,10,4,0.241,0.287,0.415,0.702,0.304,99,1,-6.5,0,0.5,2.2,999,12979
Tony Kemp,OAK,131,590,517,130,27,2,9,68,48,55,77,8,10,3,0.25,0.33,0.366,0.696,0.31,107,0.5,-1.7,5.4,-3.9,2.1,999,14894
Christian Bethancourt,TBR,73,287,265,66,13,1,11,32,36,15,67,2,3,1,0.248,0.292,0.421,0.714,0.31,107,-0.5,1.5,1.7,6.7,2.1,999,10028
Teoscar Hernández,SEA,143,602,550,138,28,1,28,72,84,40,167,5,8,3,0.25,0.305,0.456,0.761,0.329,120,-0.1,-3.6,13.3,-12.4,2.1,999,13066
Andrew Vaughn,CHW,141,594,537,143,29,1,23,72,77,43,107,8,1,1,0.266,0.327,0.453,0.779,0.338,121,-1.5,0.5,12.8,-11.9,2.1,999,26197
Austin Hays,BAL,144,587,535,134,29,2,20,67,72,35,115,9,5,2,0.251,0.305,0.428,0.733,0.319,108,0,2.7,5.5,-4.4,2.1,999,19363
Oscar Gonzalez,CLE,130,523,489,135,27,1,21,61,74,23,100,4,2,1,0.275,0.311,0.468,0.779,0.334,119,-0.6,0.3,10.3,-7.3,2.1,999,20970
